source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
1390,37,1.250000,0.104777,0.130971,True,0.127254,-0.003717,20.000000,8.000000,31411219.474652,38149787.191923,4.557761
1390,37,1.500000,0.104777,0.157165,True,0.127254,-0.029911,20.000000,8.000000,31411219.474652,38149787.191923,4.520535
1390,37,2.000000,0.104777,0.209553,True,0.127254,-0.082299,20.000000,8.000000,31411219.474652,38149787.191923,4.774523
586,76,1.250000,0.100046,0.125058,True,0.116431,-0.008627,29.000000,1.000000,29993125.965868,34905077.626295,7.536763
586,76,1.500000,0.100046,0.150069,True,0.160030,0.009961,31.000000,9.000000,29993125.965868,47975772.386117,7.624790
586,76,2.000000,0.100046,0.200093,True,0.160030,-0.040063,31.000000,9.000000,29993125.965868,47975772.386117,7.448511
1037,1165,1.250000,0.041364,0.051705,True,0.052478,0.000773,11.000000,1.000000,12400628.101264,15732464.737782,6.836746
1037,1165,1.500000,0.041364,0.062046,True,0.061503,-0.000543,11.000000,5.000000,12400628.101264,18438211.943534,7.113387
1037,1165,2.000000,0.041364,0.082728,True,0.065626,-0.017102,13.000000,3.000000,12400628.101264,19674159.600215,6.731494
1304,67,1.250000,0.085851,0.107314,True,0.104605,-0.002709,16.000000,10.000000,25737430.747783,31359735.470832,5.086637
1304,67,1.500000,0.085851,0.128776,True,0.104605,-0.024171,16.000000,10.000000,25737430.747783,31359735.470832,4.971332
1304,67,2.000000,0.085851,0.171702,True,0.104605,-0.067097,16.000000,10.000000,25737430.747783,31359735.470832,5.123535
72,992,1.250000,0.128651,0.160813,True,0.162741,0.001928,31.000000,10.000000,38568462.370154,48788594.837299,5.526525
72,992,1.500000,0.128651,0.192976,True,0.162741,-0.030235,31.000000,10.000000,38568462.370154,48788594.837299,5.414041
72,992,2.000000,0.128651,0.257301,True,0.162741,-0.094560,31.000000,10.000000,38568462.370154,48788594.837299,5.654477
266,969,1.250000,0.112537,0.140671,True,0.144084,0.003413,3.000000,37.000000,33737661.982425,43195294.056611,3.788610
